temp,rawLM35,voltLM35,rawDiodo,voltDiodo
24.00,87,0.4252,140,0.6843
26.00,81,0.3959,139,0.6794
28.00,109,0.5327,138,0.6745
30.00,115,0.5621,137,0.6696
32.00,96,0.4692,136,0.6647
34.00,97,0.4741,135,0.6598
36.00,118,0.5767,134,0.6549
38.00,101,0.4936,133,0.6500
40.00,120,0.5865,132,0.6452
42.00,115,0.5621,130,0.6354
44.00,106,0.5181,130,0.6354
46.00,119,0.5816,129,0.6305
48.00,134,0.6549,128,0.6256
50.00,111,0.5425,127,0.6207
52.00,158,0.7722,125,0.6109
54.00,147,0.7185,124,0.6061
56.00,144,0.7038,123,0.6012
58.00,149,0.7283,122,0.5963
60.00,123,0.6012,121,0.5914
62.00,165,0.8065,121,0.5914
64.00,118,0.5767,121,0.5914
66.00,159,0.7771,120,0.5865
68.00,119,0.5816,120,0.5865
70.00,145,0.7087,120,0.5865
72.00,175,0.8553,120,0.5865
74.00,142,0.6940,120,0.5865